"NBNORG0000007287","NBNSYS0000166384"
"NBNORG0000007302","NBNSYS0000169780"
"NBNORG0000007297","NBNSYS0000165378"
"NBNORG0000007298","NBNSYS0000171192"
"NBNORG0000007310","NBNSYS0000170606"
"NBNORG0000007339","NBNSYS0000169458"
"NBNORG0000007344","NHMSYS0000841838"
"NBNORG0000007363","NBNSYS0000167411"
"NBNORG0000007357","NBNSYS0000171151"
"NBNORG0000007333","NBNSYS0000169574"
"NBNORG0000007384","NBNSYS0000168786"
"NBNORG0000007383","NBNSYS0000169203"
"NBNORG0000007388","NBNSYS0000166681"
"NBNORG0000007396","NBNSYS0000166279"
"NBNORG0000007391","NBNSYS0000171975"
"NBNORG0000007390","NBNSYS0000168696"
"NBNORG0000007403","NBNSYS0000167622"
"NBNORG0000007399","NBNSYS0000168582"
"NBNORG0000007400","NBNSYS0000166473"
"NBNORG0000007259","NBNSYS0000171490"
"NBNORG0000007261","NBNSYS0000165615"
"NBNORG0000007262","NBNSYS0000168384"
"NBNORG0000024206","NBNSYS0000169876"
"NBNORG0000007170","NBNSYS0000168789"
"NBNORG0000007161","NBNSYS0000167093"
"NBNORG0000007159","NBNSYS0000168754"
"NBNORG0000007160","NBNSYS0000169742"
"NBNORG0000007156","NBNSYS0000170814"
"NBNORG0000007163","NBNSYS0000171012"
"NBNORG0000007164","NBNSYS0000166589"
"NBNORG0000007168","NHMSYS0000841453"
"NBNORG0000007179","NBNSYS0000171284"
"NBNORG0000007213","NHMSYS0000841707"
"NBNORG0000007174","NHMSYS0000842001"
"NBNORG0000007215","NHMSYS0000841928"
"NBNORG0000007217","NBNSYS0000002256"
"NBNORG0000007225","NBNSYS0000172049"
"NBNORG0000007223","NBNSYS0000169691"
"NBNORG0000007222","NBNSYS0000165319"
"NBNORG0000007224","NBNSYS0000171052"
"NBNORG0000007233","NBNSYS0000169021"
"NBNORG0000007238","NBNSYS0000168008"
"NBNORG0000007249","NBNSYS0000168586"
"NBNORG0000007245","NBNSYS0000170812"
"NBNORG0000009615","NBNSYS0000167347"
"NBNORG0000017061","NBNSYS0000167472"
"NBNORG0000017065","NBNSYS0000168577"
"NBNORG0000017066","NBNSYS0000170043"
"NBNORG0000017070","NBNSYS0000164996"
"NBNORG0000017071","NBNSYS0000171314"
"NBNORG0000017076","NBNSYS0000169853"
"NBNORG0000017077","NBNSYS0000166019"
"NBNORG0000017079","NBNSYS0000165341"
